TimeStamp	Parameter	Lane	Det	Signal	Cycle	CycleLength	YST	YST_NC	RST	GST	RedTime	GreenTime	AIC	TUY	TUG	SSC
2022-12-06 07:45:47.600	6	LT	rear	Y	1.0	119.5	2022-12-06 07:45:46.100	2022-12-06 07:47:45.600	2022-12-06 07:45:49.100	2022-12-06 07:47:35.400	106.3	10.2	1.5	118.00000000000001	107.80000000000001	YY
2022-12-06 07:45:48.600	5	LT	front	Y	1.0	119.5	2022-12-06 07:45:46.100	2022-12-06 07:47:45.600	2022-12-06 07:45:49.100	2022-12-06 07:47:35.400	106.3	10.2	2.5	117.00000000000001	106.80000000000001	YG
2022-12-06 07:46:11.100	6	LT	rear	R	1.0	119.5	2022-12-06 07:45:46.100	2022-12-06 07:47:45.600	2022-12-06 07:45:49.100	2022-12-06 07:47:35.400	106.3	10.2	25.0	94.5	84.30000000000001	RR
2022-12-06 07:46:37.400	27	R	adv	Y	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	2.4000000000000004	117.60000000000001	58.00000000000001	YY
2022-12-06 07:46:39.900	6	LT	rear	R	1.0	119.5	2022-12-06 07:45:46.100	2022-12-06 07:47:45.600	2022-12-06 07:45:49.100	2022-12-06 07:47:35.400	106.3	10.2	53.800000000000004	65.7	55.5	RG
2022-12-06 07:46:43.200	9	R	stop	R	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	8.200000000000001	111.80000000000001	52.2	RG
2022-12-06 07:47:26.200	28	M	adv	R	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	51.2	68.80000000000001	9.200000000000001	RR
2022-12-06 07:47:31.800	27	R	adv	R	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	56.800000000000004	63.2	3.6	RR
2022-12-06 07:47:32.700	10	M	stop	R	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	57.7	62.300000000000004	2.7	RG
2022-12-06 07:47:46.200	29	L	adv	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	71.2	48.800000000000004	-10.8	GG
2022-12-06 07:47:46.900	28	M	adv	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	71.9	48.1	-11.5	GG
2022-12-06 07:47:47.400	27	R	adv	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	72.4	47.6	-12.0	GG
2022-12-06 07:47:48.100	29	L	adv	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	73.10000000000001	46.900000000000006	-12.700000000000001	GG
2022-12-06 07:47:48.500	27	R	adv	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	73.5	46.5	-13.100000000000001	GG
2022-12-06 07:47:49.100	29	L	adv	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	74.10000000000001	45.900000000000006	-13.700000000000001	GG
2022-12-06 07:47:49.800	27	R	adv	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	74.80000000000001	45.2	-14.4	GG
2022-12-06 07:47:50.400	11	L	stop	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	75.4	44.6	-15.000000000000002	GG
2022-12-06 07:47:51.100	28	M	adv	G	1.0	120.0	2022-12-06 07:46:35.000	2022-12-06 07:48:35.000	2022-12-06 07:46:38.600	2022-12-06 07:47:35.400	56.8	59.6	76.10000000000001	43.900000000000006	-15.700000000000001	GG
