TimeStamp	EventID	Parameter
2022-12-06 07:45:00.100	82	8
2022-12-06 07:45:00.100	81	26
2022-12-06 07:45:01.100	81	25
2022-12-06 07:45:01.500	81	15
2022-12-06 07:45:01.700	82	20
2022-12-06 07:45:02.300	32	3
2022-12-06 07:45:02.400	81	8
2022-12-06 07:45:02.400	41	4
2022-12-06 07:45:02.400	41	8
2022-12-06 07:45:02.600	81	20
2022-12-06 07:45:03.100	82	25
2022-12-06 07:45:04.000	82	15
2022-12-06 07:45:04.400	42	4
2022-12-06 07:45:04.400	42	8
2022-12-06 07:45:05.100	81	21
2022-12-06 07:45:05.200	81	22
2022-12-06 07:45:05.400	81	14
2022-12-06 07:45:05.700	82	21
2022-12-06 07:45:06.000	82	26
2022-12-06 07:45:06.200	81	15
2022-12-06 07:45:06.200	82	22
2022-12-06 07:45:07.600	82	20
2022-12-06 07:45:07.800	82	14
2022-12-06 07:45:07.800	82	32
2022-12-06 07:45:07.900	81	22
2022-12-06 07:45:08.200	81	21
2022-12-06 07:45:08.200	81	32
2022-12-06 07:45:08.300	81	20
2022-12-06 07:45:08.400	81	26
2022-12-06 07:45:08.600	82	21
2022-12-06 07:45:09.300	82	22
2022-12-06 07:45:10.100	81	14
2022-12-06 07:45:10.600	81	21
2022-12-06 07:45:10.600	81	22
2022-12-06 07:45:11.800	82	20
2022-12-06 07:45:12.200	81	13
2022-12-06 07:45:12.400	82	22
2022-12-06 07:45:12.400	3	4
2022-12-06 07:45:12.400	3	8
2022-12-06 07:45:12.500	82	13
2022-12-06 07:45:12.500	82	15
2022-12-06 07:45:12.600	81	20
2022-12-06 07:45:13.000	82	27
2022-12-06 07:45:13.300	81	13
2022-12-06 07:45:13.300	81	15
2022-12-06 07:45:13.400	81	27
2022-12-06 07:45:13.600	81	22
2022-12-06 07:45:13.800	82	21
2022-12-06 07:45:15.100	82	22
2022-12-06 07:45:15.400	82	26
2022-12-06 07:45:15.500	2	1
2022-12-06 07:45:15.500	2	2
2022-12-06 07:45:15.500	2	5
2022-12-06 07:45:15.500	2	6
2022-12-06 07:45:15.500	82	2
2022-12-06 07:45:15.500	43	1
2022-12-06 07:45:15.900	81	21
2022-12-06 07:45:16.200	81	26
2022-12-06 07:45:16.400	81	22
2022-12-06 07:45:16.700	82	29
2022-12-06 07:45:17.000	82	22
2022-12-06 07:45:17.000	81	29
2022-12-06 07:45:17.200	82	1
2022-12-06 07:45:17.500	81	2
2022-12-06 07:45:18.200	82	21
2022-12-06 07:45:18.200	82	26
2022-12-06 07:45:18.300	81	22
2022-12-06 07:45:18.800	81	26
2022-12-06 07:45:19.100	82	22
2022-12-06 07:45:19.400	81	21
2022-12-06 07:45:20.400	81	22
2022-12-06 07:45:20.700	82	21
2022-12-06 07:45:20.900	82	26
2022-12-06 07:45:21.200	81	3
2022-12-06 07:45:21.200	44	3
2022-12-06 07:45:21.400	82	3
2022-12-06 07:45:21.400	43	3
2022-12-06 07:45:21.500	81	26
2022-12-06 07:45:22.000	82	22
2022-12-06 07:45:22.200	81	21
2022-12-06 07:45:22.200	82	32
2022-12-06 07:45:22.700	81	32
2022-12-06 07:45:23.200	81	22
2022-12-06 07:45:23.500	81	3
2022-12-06 07:45:23.500	44	3
2022-12-06 07:45:23.600	82	21
2022-12-06 07:45:23.800	82	26
2022-12-06 07:45:24.000	82	11
2022-12-06 07:45:24.300	82	27
2022-12-06 07:45:24.300	81	26
2022-12-06 07:45:24.800	81	27
2022-12-06 07:45:25.700	81	21
2022-12-06 07:45:26.500	82	3
2022-12-06 07:45:26.500	43	3
2022-12-06 07:45:26.700	82	26
2022-12-06 07:45:27.200	81	26
2022-12-06 07:45:29.200	82	13
2022-12-06 07:45:29.200	82	15
2022-12-06 07:45:29.400	81	3
2022-12-06 07:45:29.400	44	3
2022-12-06 07:45:29.600	7	4
2022-12-06 07:45:29.600	7	8
2022-12-06 07:45:29.600	8	4
2022-12-06 07:45:29.600	8	8
2022-12-06 07:45:29.600	63	2
2022-12-06 07:45:29.600	63	4
2022-12-06 07:45:29.600	6	4
2022-12-06 07:45:29.600	6	8
2022-12-06 07:45:29.700	81	7
2022-12-06 07:45:29.700	44	7
