AIY_adv	TUY_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio	month	day	hour
91.4	1.6	0.3	83.5	83.2	2.2	75.8	0.7	80.6	50.2	3.8	1.0	1.0	0.0	2.3333	01	01	00
86.4	0.6	0.4	22.6	22.1	4.3	88.7	57.5	21.1	19.8	4.9	1.0	0.0	0.0	143.75	01	01	00
3.3	86.7	0.3	21.8	21.5	8.8	81.2	47.4	23.3	22.5	5.5	0.0	0.0	0.0	158.0	01	01	00
86.8	0.2	0.4	20.8	20.5	4.5	88.5	0.9	21.0	20.2	4.7	1.0	1.0	0.0	2.25	01	01	00
88.9	1.1	0.3	20.5	20.1	2.9	87.1	0.8	19.4	18.4	4.0	1.0	1.0	0.0	2.6667	01	01	01
87.5	2.5	0.5	81.4	81.0	3.7	86.3	55.9	79.8	33.2	6.2	1.0	0.0	0.0	111.8	01	01	01
81.3	5.7	0.3	24.5	24.2	86.8	0.2	0.9	24.3	21.4	5.5	1.0	1.0	0.0	3.0	01	01	01
88.5	4.5	0.4	15.6	15.3	0.2	89.8	0.9	15.9	15.0	4.7	1.0	1.0	0.0	2.25	01	01	01
91.9	1.1	0.7	12.9	12.3	3.3	86.7	0.9	12.7	11.8	4.4	1.0	1.0	0.0	1.2857	01	01	01
81.9	5.1	0.4	6.1	5.1	85.9	1.1	0.8	6.0	5.2	4.0	1.0	1.0	0.0	2.0	01	01	01
2.2	84.8	0.1	29.4	29.0	8.4	78.6	50.4	30.5	29.6	6.2	0.0	0.0	0.0	504.0	01	01	01
2.8	49.7	0.4	19.5	19.1	9.1	43.4	10.4	20.7	19.7	6.3	0.0	0.0	0.0	26.0	01	01	01
49.9	2.6	0.3	23.7	23.4	1.5	97.0	0.8	23.3	22.4	4.1	1.0	1.0	0.0	2.6667	01	01	01
2.1	96.4	0.4	4.7	4.4	9.2	89.3	41.2	7.7	6.9	7.1	0.0	0.0	0.0	103.0	01	01	01
107.5	2.5	0.3	135.8	135.0	1.2	88.8	0.7	126.8	125.2	3.7	1.0	1.0	0.0	2.3333	01	01	03
0.6	89.4	0.4	134.8	134.5	8.0	82.0	51.7	135.7	133.4	7.4	0.0	0.0	0.0	129.25	01	01	03
3.5	86.5	0.4	57.1	56.6	10.8	79.2	46.5	55.7	44.2	7.3	0.0	0.0	0.0	116.25	01	01	03
86.3	3.7	0.3	42.0	41.6	90.0	0.0	0.8	82.0	30.3	3.7	1.0	1.0	0.0	2.6667	01	01	03
81.1	5.9	0.6	110.5	110.1	86.1	0.9	1.0	109.4	108.2	5.0	1.0	1.0	0.0	1.6667	01	01	03
3.3	86.7	0.4	34.2	33.8	9.0	81.0	47.1	146.8	132.2	5.7	0.0	0.0	0.0	117.75	01	01	03
88.6	1.4	0.4	24.4	24.1	2.8	87.2	0.8	24.5	23.7	4.2	1.0	1.0	0.0	2.0	01	01	03
2.8	87.2	0.3	55.8	55.3	10.7	79.3	46.5	55.4	43.0	7.9	0.0	0.0	0.0	155.0	01	01	03
3.3	344.7	0.4	18.7	18.4	10.2	337.8	24.2	130.9	130.0	6.9	0.0	0.0	0.0	60.5	01	01	03
111.9	1.4	0.4	41.1	40.9	3.9	164.8	29.7	42.6	41.8	5.3	1.0	0.0	0.0	74.25	01	01	04
112.4	0.9	0.3	61.2	60.9	3.9	164.8	32.2	62.7	62.0	4.8	1.0	0.0	0.0	107.3333	01	01	04
87.0	3.0	0.3	40.9	40.3	1.6	80.6	0.9	37.1	34.7	4.6	1.0	1.0	0.0	3.0	01	01	04
2.0	88.0	0.3	111.2	110.9	7.5	82.5	48.8	46.4	41.0	5.5	0.0	0.0	0.0	162.6667	01	01	04
112.9	2.1	0.3	17.3	17.0	2.5	102.8	0.9	18.3	17.5	4.6	1.0	1.0	0.0	3.0	01	01	04
101.2	0.8	0.5	6.3	6.0	6.9	83.1	49.5	125.8	124.7	7.7	1.0	0.0	0.0	99.0	01	01	04
3.3	86.5	0.4	24.1	23.9	9.6	80.2	46.3	26.9	26.2	6.3	0.0	0.0	0.0	115.75	01	01	05
0.7	89.3	0.6	138.2	137.1	8.2	81.8	47.3	5.5	4.6	7.5	0.0	0.0	0.0	78.8333	01	01	05
1.8	88.2	0.3	35.0	34.7	8.3	81.7	47.1	36.2	35.1	6.5	0.0	0.0	0.0	157.0	01	01	05
88.0	2.0	0.3	6.3	5.9	1.6	88.4	0.7	5.0	4.0	3.6	1.0	1.0	0.0	2.3333	01	01	05
86.1	3.9	0.5	73.3	72.9	1.3	88.7	0.9	71.0	35.2	5.2	1.0	1.0	0.0	1.8	01	01	05
0.0	90.0	0.3	31.1	30.8	4.3	85.7	0.8	31.0	30.1	4.3	0.0	1.0	0.0	2.6667	01	01	05
1.5	51.9	0.3	185.8	185.5	7.1	46.3	12.2	72.0	71.2	5.6	0.0	0.0	0.0	40.6667	01	01	05
2.1	51.3	0.3	72.4	72.0	9.3	44.1	10.2	74.4	73.5	7.2	0.0	0.0	0.0	34.0	01	01	05
92.2	2.8	0.6	79.0	78.8	1.8	103.2	1.0	78.3	40.7	4.6	1.0	1.0	0.0	1.6667	01	01	06
0.8	104.2	0.4	109.1	108.8	7.3	97.7	54.4	111.7	111.0	6.5	0.0	0.0	0.0	136.0	01	01	06
3.5	96.5	0.3	49.4	48.9	10.1	89.9	59.2	49.3	47.9	6.6	0.0	0.0	0.0	197.3333	01	01	06
97.8	2.2	0.3	127.4	127.1	1.8	93.2	0.8	126.9	126.1	4.0	1.0	1.0	0.0	2.6667	01	01	06
93.5	1.5	0.9	19.7	18.8	4.7	95.4	59.4	22.4	21.7	6.2	1.0	0.0	0.0	66.0	01	01	06
95.8	4.2	0.3	9.7	9.5	0.4	104.6	0.9	10.2	9.3	4.6	1.0	1.0	0.0	3.0	01	01	06
98.8	1.2	0.6	36.8	36.3	6.6	93.4	50.4	39.1	38.1	7.8	1.0	0.0	0.0	84.0	01	01	07
95.5	4.5	0.3	79.5	79.2	99.5	0.5	0.9	76.5	42.7	4.0	1.0	1.0	0.0	3.0	01	01	07
83.0	4.7	0.4	7.7	7.4	87.5	0.2	0.9	8.3	7.5	4.5	1.0	1.0	0.0	2.25	01	01	07
84.3	3.4	0.3	1.3	0.9	1.1	106.2	0.9	1.3	0.4	4.5	1.0	1.0	1.0	3.0	01	01	07
1.5	105.8	0.3	4.9	4.6	9.3	98.0	56.7	8.2	7.3	7.8	0.0	0.0	0.0	189.0	01	01	07
104.8	0.2	0.4	132.7	132.4	7.6	87.4	49.5	135.5	134.5	7.8	1.0	0.0	0.0	123.75	01	01	07
2.4	97.6	0.5	45.3	44.7	8.0	92.0	52.8	42.7	41.4	5.6	0.0	0.0	0.0	105.6	01	01	08
99.7	0.3	0.3	62.5	62.0	3.5	96.5	0.7	72.6	48.3	3.8	1.0	1.0	0.0	2.3333	01	01	08
3.3	96.7	0.4	73.6	73.2	9.5	90.5	56.4	101.4	100.9	6.2	0.0	0.0	0.0	141.0	01	01	08
2.3	97.7	0.4	24.7	24.2	11.2	88.8	45.3	28.3	27.2	8.9	0.0	0.0	0.0	113.25	01	01	08
0.4	104.6	0.4	146.4	146.0	6.0	99.0	54.2	145.1	143.7	5.6	0.0	0.0	0.0	135.5	01	01	08
0.4	63.5	0.3	35.8	35.6	5.7	58.2	24.8	36.5	35.7	5.3	0.0	0.0	0.0	82.6667	01	01	09
43.9	5.3	0.3	72.2	71.8	48.6	0.6	0.9	71.5	70.5	4.7	1.0	1.0	0.0	3.0	01	01	09
60.3	1.2	1.0	16.9	16.6	9.2	43.6	10.0	21.1	15.5	10.4	1.0	0.0	0.0	10.0	01	01	09
1.6	114.5	0.3	47.0	46.4	7.9	108.2	80.8	38.1	36.0	6.3	0.0	0.0	0.0	269.3333	01	01	09
3.2	96.8	0.4	67.2	66.5	10.0	90.0	66.3	42.0	39.9	6.8	0.0	0.0	0.0	165.75	01	01	09
98.7	1.3	0.4	12.7	12.4	4.0	101.0	1.0	14.4	13.7	5.3	1.0	1.0	0.0	2.5	01	01	09
98.5	1.5	0.3	15.6	15.3	3.9	91.1	63.3	16.6	15.8	5.4	1.0	0.0	0.0	211.0	01	01	09
54.4	2.7	0.3	37.8	37.5	1.1	115.0	0.8	37.8	37.0	3.8	1.0	1.0	0.0	2.6667	01	01	09
56.2	0.9	0.2	1.8	1.5	2.8	113.3	0.8	1.7	0.9	3.7	1.0	1.0	1.0	4.0	01	01	09
110.7	5.4	0.3	5.3	4.7	114.7	1.4	0.8	5.4	4.6	4.0	1.0	1.0	0.0	2.6667	01	01	09
92.7	2.3	0.4	79.7	79.2	2.6	97.4	1.0	74.8	40.7	4.9	1.0	1.0	0.0	2.5	01	01	10
1.4	98.6	0.4	3.7	3.3	10.5	89.5	63.6	7.9	6.9	9.1	0.0	0.0	0.0	159.0	01	01	10
0.4	99.6	0.3	113.2	113.0	4.7	95.3	0.7	44.1	28.3	4.3	0.0	1.0	0.0	2.3333	01	01	10
96.4	4.9	0.3	62.2	61.6	101.2	0.1	0.9	22.2	20.5	4.8	1.0	1.0	0.0	3.0	01	01	10
98.3	1.7	0.4	43.9	43.1	2.4	97.6	0.8	24.1	21.8	4.1	1.0	1.0	0.0	2.0	01	01	10
95.8	4.2	0.5	81.2	80.8	99.6	0.4	0.7	35.0	33.0	3.8	1.0	1.0	0.0	1.4	01	01	10
2.7	97.3	0.4	56.2	55.5	11.0	89.0	61.2	40.4	39.2	8.3	0.0	0.0	0.0	153.0	01	01	10
