AIY_adv	TUY_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio
2.8	117.2	33.3	32.9	7.8	112.2	32.7	31.7	5.0	0.0	0.0	0.0	194.3333
114.6	5.4	16.0	15.7	0.7	119.3	17.7	16.8	6.1	1.0	1.0	0.0	2.1
119.6	0.4	23.0	22.7	3.8	116.2	22.4	21.4	4.2	1.0	1.0	0.0	2.6667
3.2	116.8	8.6	7.6	9.7	110.3	9.0	6.9	6.5	0.0	0.0	0.0	236.0
116.1	3.9	24.1	23.6	120.0	0.0	23.7	22.4	3.9	1.0	1.0	0.0	3.0
3.4	116.6	42.2	40.7	11.6	108.4	40.6	39.3	8.2	0.0	0.0	0.0	141.0
2.2	117.8	15.1	14.7	9.6	110.4	17.5	16.5	7.4	0.0	0.0	0.0	248.6667
118.6	1.4	9.7	9.4	2.9	117.1	9.6	8.8	4.3	1.0	1.0	0.0	2.0
0.4	119.6	1.8	1.4	6.6	113.4	3.7	2.9	6.2	0.0	0.0	1.0	222.0
0.7	119.3	17.4	17.1	8.5	111.5	9.0	7.9	7.8	0.0	0.0	0.0	198.3333
1.2	118.8	12.0	11.2	7.5	112.5	13.5	12.2	6.3	0.0	0.0	0.0	222.0
2.8	117.2	10.4	10.1	11.3	108.7	14.9	14.1	8.5	0.0	0.0	0.0	137.0
0.8	119.2	50.7	49.9	6.0	114.0	43.7	42.4	5.2	0.0	0.0	0.0	247.6667
117.2	2.8	27.3	26.3	0.7	119.3	22.2	21.0	3.5	1.0	1.0	0.0	3.5
118.2	1.8	13.6	13.3	5.0	115.0	16.3	15.5	6.8	1.0	0.0	0.0	130.8333
105.8	5.4	7.0	6.8	111.2	0.0	8.6	7.9	5.4	1.0	1.0	0.0	2.75
108.1	3.1	3.6	3.2	0.8	111.6	2.7	1.7	3.9	1.0	1.0	0.0	2.3333
110.6	0.6	1.6	1.1	4.8	107.6	7.0	6.0	5.4	1.0	0.0	1.0	167.0
2.8	109.6	5.9	5.6	9.0	103.4	8.2	7.5	6.2	0.0	0.0	0.0	209.5
2.1	97.9	13.2	12.9	7.2	92.8	14.4	13.7	5.1	0.0	0.0	0.0	236.3333
2.3	97.7	10.1	9.8	9.2	90.8	12.5	11.7	6.9	0.0	0.0	0.0	177.25
3.1	96.9	42.7	42.3	11.7	88.3	39.6	37.9	8.6	0.0	0.0	0.0	43.9375
3.4	116.6	12.6	12.3	9.8	110.2	29.2	28.2	6.4	0.0	0.0	0.0	169.75
119.0	1.0	16.1	15.7	2.5	117.5	14.2	13.1	3.5	1.0	1.0	0.0	3.0
0.5	119.5	35.8	35.5	5.7	114.3	36.1	35.2	5.2	0.0	0.0	0.0	232.3333
0.1	119.9	35.5	35.2	5.5	114.5	36.5	35.7	5.4	0.0	0.0	0.0	190.5
118.4	1.6	12.6	12.3	2.4	117.6	12.7	11.9	4.0	1.0	1.0	0.0	2.0
3.1	116.9	33.0	32.6	10.3	109.7	35.7	33.4	7.2	0.0	0.0	0.0	193.5
118.3	1.7	8.5	8.2	3.9	116.1	9.5	8.6	5.6	1.0	0.0	0.0	194.75
116.8	3.2	13.1	12.7	2.0	118.0	14.0	13.1	5.2	1.0	1.0	0.0	1.1579
